Agency,Service
Equal Employment Practices Commission,SOFTWARE SECURITY ASSURANCE
Equal Employment Practices Commission,SSL REMOTE ACCESS
Equal Employment Practices Commission,SERVICE DESK
Equal Employment Practices Commission,DESKTOP SUPPORT
Equal Employment Practices Commission,EMAIL
Equal Employment Practices Commission,PROVISIONING
Equal Employment Practices Commission,LYNC 2013
Equal Employment Practices Commission,SITE B (STERLING FOREST) MAINFRAME
Equal Employment Practices Commission,CABLE INFRASTRUCTURE
Equal Employment Practices Commission,CITYNET
Equal Employment Practices Commission,DATA CONNECTIVITY (CIRCUIT ORDERS)
Equal Employment Practices Commission,NETWORK LAN SUPPORT
Equal Employment Practices Commission,SECURE WIRELESS (LAN) SERVICES
Equal Employment Practices Commission,VoIP
"Police Corruption, Commission to Combat",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Police Corruption, Commission to Combat",NYC.GOV
"Police Corruption, Commission to Combat",SITE-TO-SITE VPN
"Police Corruption, Commission to Combat",SOFTWARE SECURITY ASSURANCE
"Police Corruption, Commission to Combat",SSL REMOTE ACCESS
"Police Corruption, Commission to Combat",CABLE INFRASTRUCTURE
"Police Corruption, Commission to Combat",CITYNET
"Tax Commission, the (OATA)",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Tax Commission, the (OATA)",NYC.GOV
"Tax Commission, the (OATA)",SITE-TO-SITE VPN
"Tax Commission, the (OATA)",SOFTWARE SECURITY ASSURANCE
"Tax Commission, the (OATA)",SSL REMOTE ACCESS
"Tax Commission, the (OATA)",MAINFRAME
"Actuary, NYC Office of",BUSINESS APPLICATION DEVELOPMENT 
"Actuary, NYC Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Actuary, NYC Office of",NYC.GOV
"Actuary, NYC Office of",IDENTITY MANAGEMENT 
"Actuary, NYC Office of",PASSWORD SELF-SERVICE
"Actuary, NYC Office of",SITE-TO-SITE VPN
"Actuary, NYC Office of",SOFTWARE SECURITY ASSURANCE
"Actuary, NYC Office of",SSL REMOTE ACCESS
"Actuary, NYC Office of",MAINFRAME
"Actuary, NYC Office of",SECURE FILE TRANSFER 
"Actuary, NYC Office of",SITE B (STERLING FOREST) MAINFRAME
"Actuary, NYC Office of",CABLE INFRASTRUCTURE
"Actuary, NYC Office of",CITYNET
"Actuary, NYC Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Actuary, NYC Office of",ADOBE ETLA
"Actuary, NYC Office of",MICROSOFT ELA
"Actuary, NYC Office of",MOBILE DEVICES AND SERVICES
"Actuary, NYC Office of",VoIP
Borough President - Bronx,MAPPING/LOCATION SERVICES
Borough President - Bronx,SITE-TO-SITE VPN
Borough President - Bronx,SOFTWARE SECURITY ASSURANCE
Borough President - Bronx,SSL REMOTE ACCESS
Borough President - Bronx,MAINFRAME
Borough President - Bronx,SHAREPOINT
Borough President - Bronx,SITE B (STERLING FOREST) MAINFRAME
Borough President - Bronx,CABLE INFRASTRUCTURE
Borough President - Bronx,CITYNET
Borough President - Bronx,DATA CONNECTIVITY (CIRCUIT ORDERS)
Borough President - Bronx,VMWARE ELA
Borough President - Bronx,MICROSOFT ELA
Borough President - Bronx,MOBILE DEVICES AND SERVICES
Borough President - Brooklyn,MAPPING/LOCATION SERVICES
Borough President - Brooklyn,PROJECT MANAGEMENT 
Borough President - Brooklyn,WEBSITE DESIGN BUILD AND MAINTENANCE  
Borough President - Brooklyn,NYC.GOV
Borough President - Brooklyn,SITE-TO-SITE VPN
Borough President - Brooklyn,SOFTWARE SECURITY ASSURANCE
Borough President - Brooklyn,SSL REMOTE ACCESS
Borough President - Brooklyn,EMAIL
Borough President - Brooklyn,PROVISIONING
Borough President - Brooklyn,MAINFRAME
Borough President - Brooklyn,SHAREPOINT
Borough President - Brooklyn,SITE B (STERLING FOREST) MAINFRAME
Borough President - Brooklyn,WORKSHOPS
Borough President - Brooklyn,CABLE INFRASTRUCTURE
Borough President - Brooklyn,CITYNET
Borough President - Brooklyn,DATA CONNECTIVITY (CIRCUIT ORDERS)
Borough President - Brooklyn,SECURE WIRELESS (LAN) SERVICES
Borough President - Brooklyn,CLOUD REVIEW
Borough President - Brooklyn,VMWARE ELA
Borough President - Brooklyn,MICROSOFT ELA
Borough President - Brooklyn,MOBILE DEVICES AND SERVICES
Borough President - Manhattan,MAPPING/LOCATION SERVICES
Borough President - Manhattan,PROJECT MANAGEMENT 
Borough President - Manhattan,WEBSITE DESIGN BUILD AND MAINTENANCE  
Borough President - Manhattan,NYC.GOV
Borough President - Manhattan,SITE-TO-SITE VPN
Borough President - Manhattan,SOFTWARE SECURITY ASSURANCE
Borough President - Manhattan,SSL REMOTE ACCESS
Borough President - Manhattan,EMAIL
Borough President - Manhattan,MAINFRAME
Borough President - Manhattan,SHAREPOINT
Borough President - Manhattan,SITE B (STERLING FOREST) MAINFRAME
Borough President - Manhattan,CABLE INFRASTRUCTURE
Borough President - Manhattan,CITYNET
Borough President - Manhattan,DATA CONNECTIVITY (CIRCUIT ORDERS)
Borough President - Manhattan,ADOBE ETLA
Borough President - Manhattan,VMWARE ELA
Borough President - Manhattan,MICROSOFT ELA
Borough President - Manhattan,MOBILE DEVICES AND SERVICES
Borough President - Queens,MAPPING/LOCATION SERVICES
Borough President - Queens,SITE-TO-SITE VPN
Borough President - Queens,SOFTWARE SECURITY ASSURANCE
Borough President - Queens,SSL REMOTE ACCESS
Borough President - Queens,MAINFRAME
Borough President - Queens,SHAREPOINT
Borough President - Queens,SITE B (STERLING FOREST) MAINFRAME
Borough President - Queens,CABLE INFRASTRUCTURE
Borough President - Queens,CITYNET
Borough President - Queens,DATA CONNECTIVITY (CIRCUIT ORDERS)
Borough President - Queens,VMWARE ELA
Borough President - Queens,MICROSOFT ELA
Borough President - Queens,MOBILE DEVICES AND SERVICES
Borough President - Queens,VoIP
Borough President - Staten Island,MAPPING/LOCATION SERVICES
Borough President - Staten Island,PROJECT MANAGEMENT 
Borough President - Staten Island,SITE-TO-SITE VPN
Borough President - Staten Island,SOFTWARE SECURITY ASSURANCE
Borough President - Staten Island,SSL REMOTE ACCESS
Borough President - Staten Island,MAINFRAME
Borough President - Staten Island,SHAREPOINT
Borough President - Staten Island,SITE B (STERLING FOREST) MAINFRAME
Borough President - Staten Island,CABLE INFRASTRUCTURE
Borough President - Staten Island,CITYNET
Borough President - Staten Island,DATA CONNECTIVITY (CIRCUIT ORDERS)
Borough President - Staten Island,MOBILE DEVICES AND SERVICES
City Clerk & Clerk of the Council,BUSINESS ANALYSIS
City Clerk & Clerk of the Council,BUSINESS APPLICATION DEVELOPMENT 
City Clerk & Clerk of the Council,PROJECT MANAGEMENT 
City Clerk & Clerk of the Council,WEBSITE DESIGN BUILD AND MAINTENANCE  
City Clerk & Clerk of the Council,NYC.GOV
City Clerk & Clerk of the Council,SITE-TO-SITE VPN
City Clerk & Clerk of the Council,SOFTWARE SECURITY ASSURANCE
City Clerk & Clerk of the Council,SSL REMOTE ACCESS
City Clerk & Clerk of the Council,APPLICATION SUPPORT
City Clerk & Clerk of the Council,EMAIL
City Clerk & Clerk of the Council,PROVISIONING
City Clerk & Clerk of the Council,CABLE INFRASTRUCTURE
City Clerk & Clerk of the Council,CITYNET
City Clerk & Clerk of the Council,DATA CONNECTIVITY (CIRCUIT ORDERS)
City Clerk & Clerk of the Council,USER EXPERIENCE DESIGN
City Clerk & Clerk of the Council,MOBILE DEVICES AND SERVICES
City Clerk & Clerk of the Council,FUNCTIONAL TESTING
County Clerk - Bronx County,SITE-TO-SITE VPN
County Clerk - Bronx County,SOFTWARE SECURITY ASSURANCE
County Clerk - Bronx County,SSL REMOTE ACCESS
County Clerk - Bronx County,MOBILE DEVICES AND SERVICES
County Clerk - Kings County,SITE-TO-SITE VPN
County Clerk - Kings County,SOFTWARE SECURITY ASSURANCE
County Clerk - Kings County,SSL REMOTE ACCESS
County Clerk - Kings County,MOBILE DEVICES AND SERVICES
County Clerk - New York County,SITE-TO-SITE VPN
County Clerk - New York County,SOFTWARE SECURITY ASSURANCE
County Clerk - New York County,SSL REMOTE ACCESS
County Clerk - New York County,EMAIL
County Clerk - New York County,MOBILE DEVICES AND SERVICES
County Clerk - Queens County,SITE-TO-SITE VPN
County Clerk - Queens County,SOFTWARE SECURITY ASSURANCE
County Clerk - Queens County,SSL REMOTE ACCESS
County Clerk - Queens County,MOBILE DEVICES AND SERVICES
County Clerk - Richmond County,SITE-TO-SITE VPN
County Clerk - Richmond County,SOFTWARE SECURITY ASSURANCE
County Clerk - Richmond County,SSL REMOTE ACCESS
County Clerk - Richmond County,SITE B (STERLING FOREST) MAINFRAME
County Clerk - Richmond County,MOBILE DEVICES AND SERVICES
City Council,SITE-TO-SITE VPN
City Council,SOFTWARE SECURITY ASSURANCE
City Council,SSL REMOTE ACCESS
City Council,CDWG - IT GOODS AND RELATED SERVICES 
City Council,CISCO MAINTENANCE CONTRACT
City Council,APPLICATION SUPPORT
City Council,SECURE FILE TRANSFER 
City Council,SHAREPOINT
City Council,CABLE INFRASTRUCTURE
City Council,CITYNET
City Council,DATA CONNECTIVITY (CIRCUIT ORDERS)
City Council,VMWARE ELA
City Council,TELECOMM CONTRACT
City Council,VoIP
"Collective Bargaining, Office of",BUSINESS APPLICATION DEVELOPMENT 
"Collective Bargaining, Office of",PROJECT MANAGEMENT 
"Collective Bargaining, Office of",SITE-TO-SITE VPN
"Collective Bargaining, Office of",SOFTWARE SECURITY ASSURANCE
"Collective Bargaining, Office of",SSL REMOTE ACCESS
"Collective Bargaining, Office of",SERVICE DESK
"Collective Bargaining, Office of",EMAIL
"Collective Bargaining, Office of",CABLE INFRASTRUCTURE
"Collective Bargaining, Office of",CITYNET
"Collective Bargaining, Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Collective Bargaining, Office of",ADOBE ETLA
"Collective Bargaining, Office of",MICROSOFT ELA
"Collective Bargaining, Office of",MOBILE DEVICES AND SERVICES
"Collective Bargaining, Office of",TWO-WAY RADIO COMMUNICATION
"Comptroller, Office of the New York City",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Comptroller, Office of the New York City",BUSINESS APPLICATION DEVELOPMENT 
"Comptroller, Office of the New York City",NYC.ID/IDENTITY MANAGEMENT 
"Comptroller, Office of the New York City",SITE-TO-SITE VPN
"Comptroller, Office of the New York City",SOFTWARE SECURITY ASSURANCE
"Comptroller, Office of the New York City",SSL REMOTE ACCESS
"Comptroller, Office of the New York City",CDWG - IT GOODS AND RELATED SERVICES 
"Comptroller, Office of the New York City",CISCO MAINTENANCE CONTRACT
"Comptroller, Office of the New York City",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Comptroller, Office of the New York City",SECURE FILE TRANSFER 
"Comptroller, Office of the New York City",CABLE INFRASTRUCTURE
"Comptroller, Office of the New York City",CITYNET
"Comptroller, Office of the New York City",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Comptroller, Office of the New York City",CLOUD REVIEW
"Comptroller, Office of the New York City",ADOBE ETLA
"Comptroller, Office of the New York City",MICROSOFT ELA
"Comptroller, Office of the New York City",MOBILE DEVICES AND SERVICES
"Comptroller, Office of the New York City",TELECOMM CONTRACT
District Attorney - Bronx County,WEBSITE DESIGN BUILD AND MAINTENANCE  
District Attorney - Bronx County,NYC.GOV
District Attorney - Bronx County,SITE-TO-SITE VPN
District Attorney - Bronx County,SOFTWARE SECURITY ASSURANCE
District Attorney - Bronx County,SSL REMOTE ACCESS
District Attorney - Bronx County,CISCO MAINTENANCE CONTRACT
District Attorney - Bronx County,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
District Attorney - Bronx County,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
District Attorney - Bronx County,DATA EXCHANGE
District Attorney - Bronx County,EMAIL
District Attorney - Bronx County,MAINFRAME
District Attorney - Bronx County,SECURE FILE TRANSFER 
District Attorney - Bronx County,CABLE INFRASTRUCTURE
District Attorney - Bronx County,CITYNET
District Attorney - Bronx County,DATA CONNECTIVITY (CIRCUIT ORDERS)
District Attorney - Bronx County,ADOBE ETLA
District Attorney - Bronx County,VMWARE ELA
District Attorney - Bronx County,MICROSOFT ELA
District Attorney - Bronx County,MOBILE DEVICES AND SERVICES
District Attorney - Bronx County,TELECOMM CONTRACT
District Attorney - Kings County,BUSINESS APPLICATION DEVELOPMENT 
District Attorney - Kings County,PROJECT MANAGEMENT 
District Attorney - Kings County,SITE-TO-SITE VPN
District Attorney - Kings County,SOFTWARE SECURITY ASSURANCE
District Attorney - Kings County,SSL REMOTE ACCESS
District Attorney - Kings County,DATA EXCHANGE
District Attorney - Kings County,SECURE FILE TRANSFER 
District Attorney - Kings County,SITE B (STERLING FOREST) MAINFRAME
District Attorney - Kings County,CABLE INFRASTRUCTURE
District Attorney - Kings County,CITYNET
District Attorney - Kings County,DATA CONNECTIVITY (CIRCUIT ORDERS)
District Attorney - Kings County,CLOUD REVIEW
District Attorney - Kings County,ADOBE ETLA
District Attorney - Kings County,VMWARE ELA
District Attorney - Kings County,MICROSOFT ELA
District Attorney - Kings County,MOBILE DEVICES AND SERVICES
District Attorney - Kings County,TELECOMM CONTRACT
District Attorney - Kings County,FUNCTIONAL TESTING
District Attorney - New York County,PROJECT MANAGEMENT 
District Attorney - New York County,SITE-TO-SITE VPN
District Attorney - New York County,SOFTWARE SECURITY ASSURANCE
District Attorney - New York County,SSL REMOTE ACCESS
District Attorney - New York County,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
District Attorney - New York County,QUALITY CONTROL SERVICES (QC)
District Attorney - New York County,DATA EXCHANGE
District Attorney - New York County,PROVISIONING
District Attorney - New York County,MAINFRAME
District Attorney - New York County,SECURE FILE TRANSFER 
District Attorney - New York County,CABLE INFRASTRUCTURE
District Attorney - New York County,CITYNET
District Attorney - New York County,DATA CONNECTIVITY (CIRCUIT ORDERS)
District Attorney - New York County,ADOBE ETLA
District Attorney - New York County,VMWARE ELA
District Attorney - New York County,MICROSOFT ELA
District Attorney - New York County,MOBILE DEVICES AND SERVICES
District Attorney - New York County,TELECOMM CONTRACT
District Attorney - New York County,FUNCTIONAL TESTING
District Attorney - Queens County,PROJECT MANAGEMENT 
District Attorney - Queens County,SITE-TO-SITE VPN
District Attorney - Queens County,SOFTWARE SECURITY ASSURANCE
District Attorney - Queens County,SSL REMOTE ACCESS
District Attorney - Queens County,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
District Attorney - Queens County,DATA EXCHANGE
District Attorney - Queens County,SECURE FILE TRANSFER 
District Attorney - Queens County,CABLE INFRASTRUCTURE
District Attorney - Queens County,CITYNET
District Attorney - Queens County,DATA CONNECTIVITY (CIRCUIT ORDERS)
District Attorney - Queens County,NEW YORK WIRELESS NETWORK (NYCWIN)
District Attorney - Queens County,ADOBE ETLA
District Attorney - Queens County,MOBILE DEVICES AND SERVICES
District Attorney - Queens County,TWO-WAY RADIO COMMUNICATION
District Attorney - Queens County,FUNCTIONAL TESTING
District Attorney - Richmond County,BUSINESS ANALYSIS
District Attorney - Richmond County,PROJECT MANAGEMENT 
District Attorney - Richmond County,SITE-TO-SITE VPN
District Attorney - Richmond County,SOFTWARE SECURITY ASSURANCE
District Attorney - Richmond County,SSL REMOTE ACCESS
District Attorney - Richmond County,DATA EXCHANGE
District Attorney - Richmond County,EMAIL
District Attorney - Richmond County,SECURE FILE TRANSFER 
District Attorney - Richmond County,SITE B (STERLING FOREST) MAINFRAME
District Attorney - Richmond County,CABLE INFRASTRUCTURE
District Attorney - Richmond County,CITYNET
District Attorney - Richmond County,DATA CONNECTIVITY (CIRCUIT ORDERS)
District Attorney - Richmond County,SECURE WIRELESS (LAN) SERVICES
District Attorney - Richmond County,VMWARE ELA
District Attorney - Richmond County,MICROSOFT ELA
District Attorney - Richmond County,MOBILE DEVICES AND SERVICES
District Attorney - Richmond County,TELECOMM CONTRACT
District Attorney - Richmond County,FUNCTIONAL TESTING
FBI - Criminal Justice Information Services Division,SITE-TO-SITE VPN
FBI - Criminal Justice Information Services Division,SOFTWARE SECURITY ASSURANCE
FBI - Criminal Justice Information Services Division,SSL REMOTE ACCESS
Financial Information Services Agency,BUSINESS APPLICATION DEVELOPMENT 
Financial Information Services Agency,WEBSITE DESIGN BUILD AND MAINTENANCE  
Financial Information Services Agency,NYC.GOV
Financial Information Services Agency,SITE-TO-SITE VPN
Financial Information Services Agency,SOFTWARE SECURITY ASSURANCE
Financial Information Services Agency,SSL REMOTE ACCESS
Financial Information Services Agency,CDWG - IT GOODS AND RELATED SERVICES 
Financial Information Services Agency,CISCO MAINTENANCE CONTRACT
Financial Information Services Agency,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
Financial Information Services Agency,PROVISIONING
Financial Information Services Agency,MAINFRAME
Financial Information Services Agency,SHAREPOINT
Financial Information Services Agency,"SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
Financial Information Services Agency,SITE B (STERLING FOREST) MAINFRAME
Financial Information Services Agency,WORKSHOPS
Financial Information Services Agency,CITYNET
Financial Information Services Agency,DATA CONNECTIVITY (CIRCUIT ORDERS)
Financial Information Services Agency,USER EXPERIENCE DESIGN
Financial Information Services Agency,ADOBE ETLA
Financial Information Services Agency,VMWARE ELA
Financial Information Services Agency,MICROSOFT ELA
Financial Information Services Agency,VoIP
"Payroll Administration, Office of",BUSINESS APPLICATION DEVELOPMENT 
"Payroll Administration, Office of",PROJECT MANAGEMENT 
"Payroll Administration, Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Payroll Administration, Office of",NYC.GOV
"Payroll Administration, Office of",IDENTITY MANAGEMENT 
"Payroll Administration, Office of",NYC.ID/IDENTITY MANAGEMENT 
"Payroll Administration, Office of",SITE-TO-SITE VPN
"Payroll Administration, Office of",SOFTWARE SECURITY ASSURANCE
"Payroll Administration, Office of",SSL REMOTE ACCESS
"Payroll Administration, Office of",CDWG - IT GOODS AND RELATED SERVICES 
"Payroll Administration, Office of",CISCO MAINTENANCE CONTRACT
"Payroll Administration, Office of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Payroll Administration, Office of",PROVISIONING
"Payroll Administration, Office of",MAINFRAME
"Payroll Administration, Office of",SECURE FILE TRANSFER 
"Payroll Administration, Office of",SHAREPOINT
"Payroll Administration, Office of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Payroll Administration, Office of",SITE B (STERLING FOREST) MAINFRAME
"Payroll Administration, Office of",WORKSHOPS
"Payroll Administration, Office of",CITYNET
"Payroll Administration, Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Payroll Administration, Office of",ADOBE ETLA
"Payroll Administration, Office of",VMWARE ELA
"Payroll Administration, Office of",MICROSOFT ELA
"Payroll Administration, Office of",TELECOMM CONTRACT
"Payroll Administration, Office of",VoIP
"Independent Budget Office, NYC",SITE-TO-SITE VPN
"Independent Budget Office, NYC",SOFTWARE SECURITY ASSURANCE
"Independent Budget Office, NYC",SSL REMOTE ACCESS
"Independent Budget Office, NYC",MAINFRAME
"Independent Budget Office, NYC",SECURE FILE TRANSFER 
"Independent Budget Office, NYC",CABLE INFRASTRUCTURE
"Independent Budget Office, NYC",CITYNET
"Independent Budget Office, NYC",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Independent Budget Office, NYC",ADOBE ETLA
"Independent Budget Office, NYC",MOBILE DEVICES AND SERVICES
"Independent Budget Office, NYC",VoIP
Metropolitan Transportation Authority,BUSINESS APPLICATION DEVELOPMENT 
Metropolitan Transportation Authority,SITE-TO-SITE VPN
Metropolitan Transportation Authority,SOFTWARE SECURITY ASSURANCE
Metropolitan Transportation Authority,SSL REMOTE ACCESS
Metropolitan Transportation Authority,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
Metropolitan Transportation Authority,DATA EXCHANGE
Metropolitan Transportation Authority,CITYNET
Metropolitan Transportation Authority,DATA CONNECTIVITY (CIRCUIT ORDERS)
Metropolitan Transportation Authority,TELECOMM CONTRACT
NYs Unified Court System Office of Court Administration,BUSINESS ANALYSIS
NYs Unified Court System Office of Court Administration,PROJECT MANAGEMENT 
NYs Unified Court System Office of Court Administration,SITE-TO-SITE VPN
NYs Unified Court System Office of Court Administration,SOFTWARE SECURITY ASSURANCE
NYs Unified Court System Office of Court Administration,SSL REMOTE ACCESS
NYs Unified Court System Office of Court Administration,DATA EXCHANGE
NYs Unified Court System Office of Court Administration,PROVISIONING
NYs Unified Court System Office of Court Administration,FUNCTIONAL TESTING
Public Administrator - New York County,BUSINESS APPLICATION DEVELOPMENT 
Public Administrator - New York County,PROJECT MANAGEMENT 
Public Administrator - New York County,WEBSITE DESIGN BUILD AND MAINTENANCE  
Public Administrator - New York County,NYC.GOV
Public Administrator - New York County,SITE-TO-SITE VPN
Public Administrator - New York County,SOFTWARE SECURITY ASSURANCE
Public Administrator - New York County,SSL REMOTE ACCESS
Public Administrator - New York County,DESKTOP SUPPORT
Public Administrator - New York County,EMAIL
Public Administrator - New York County,PROVISIONING
Public Administrator - New York County,MAINFRAME
Public Administrator - New York County,SITE B (STERLING FOREST) MAINFRAME
Public Administrator - New York County,CABLE INFRASTRUCTURE
Public Administrator - New York County,CITYNET
Public Administrator - New York County,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Administrator - New York County,NETWORK LAN SUPPORT
Public Administrator - New York County,ADVISORY SERVICES 
Public Administrator - New York County,MOBILE DEVICES AND SERVICES
Public Administrator - Bronx County,SITE-TO-SITE VPN
Public Administrator - Bronx County,SOFTWARE SECURITY ASSURANCE
Public Administrator - Bronx County,SSL REMOTE ACCESS
Public Administrator - Bronx County,PROVISIONING
Public Administrator - Bronx County,MAINFRAME
Public Administrator - Bronx County,SITE B (STERLING FOREST) MAINFRAME
Public Administrator - Bronx County,CABLE INFRASTRUCTURE
Public Administrator - Bronx County,CITYNET
Public Administrator - Bronx County,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Administrator - Bronx County,MOBILE DEVICES AND SERVICES
Public Administrator - Kings County,BUSINESS APPLICATION DEVELOPMENT 
Public Administrator - Kings County,WEBSITE DESIGN BUILD AND MAINTENANCE  
Public Administrator - Kings County,NYC.GOV
Public Administrator - Kings County,SITE-TO-SITE VPN
Public Administrator - Kings County,SOFTWARE SECURITY ASSURANCE
Public Administrator - Kings County,SSL REMOTE ACCESS
Public Administrator - Kings County,EMAIL
Public Administrator - Kings County,MAINFRAME
Public Administrator - Kings County,SITE B (STERLING FOREST) MAINFRAME
Public Administrator - Kings County,CABLE INFRASTRUCTURE
Public Administrator - Kings County,CITYNET
Public Administrator - Kings County,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Administrator - Kings County,MOBILE DEVICES AND SERVICES
Public Administrator - Queens County,SITE-TO-SITE VPN
Public Administrator - Queens County,SOFTWARE SECURITY ASSURANCE
Public Administrator - Queens County,SSL REMOTE ACCESS
Public Administrator - Queens County,MAINFRAME
Public Administrator - Queens County,SITE B (STERLING FOREST) MAINFRAME
Public Administrator - Queens County,CABLE INFRASTRUCTURE
Public Administrator - Queens County,CITYNET
Public Administrator - Queens County,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Administrator - Queens County,MOBILE DEVICES AND SERVICES
Public Administrator - Richmond County,WEBSITE DESIGN BUILD AND MAINTENANCE  
Public Administrator - Richmond County,NYC.GOV
Public Administrator - Richmond County,SITE-TO-SITE VPN
Public Administrator - Richmond County,SOFTWARE SECURITY ASSURANCE
Public Administrator - Richmond County,SSL REMOTE ACCESS
Public Administrator - Richmond County,EMAIL
Public Administrator - Richmond County,MAINFRAME
Public Administrator - Richmond County,LYNC 2013
Public Administrator - Richmond County,SITE B (STERLING FOREST) MAINFRAME
Public Administrator - Richmond County,CABLE INFRASTRUCTURE
Public Administrator - Richmond County,CITYNET
Public Administrator - Richmond County,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Administrator - Richmond County,MOBILE DEVICES AND SERVICES
Public Advocate for the City of New York,SITE-TO-SITE VPN
Public Advocate for the City of New York,SOFTWARE SECURITY ASSURANCE
Public Advocate for the City of New York,SSL REMOTE ACCESS
Public Advocate for the City of New York,MAINFRAME
Public Advocate for the City of New York,CABLE INFRASTRUCTURE
Public Advocate for the City of New York,CITYNET
Public Advocate for the City of New York,DATA CONNECTIVITY (CIRCUIT ORDERS)
Public Advocate for the City of New York,NEW YORK WIRELESS NETWORK (NYCWIN)
Public Advocate for the City of New York,TWO-WAY RADIO COMMUNICATION
"School Construction Authority, NYC",SITE-TO-SITE VPN
"School Construction Authority, NYC",SOFTWARE SECURITY ASSURANCE
"School Construction Authority, NYC",SSL REMOTE ACCESS
"School Construction Authority, NYC",CISCO MAINTENANCE CONTRACT
"School Construction Authority, NYC",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"School Construction Authority, NYC",MAINFRAME
"School Construction Authority, NYC",CITYNET
"School Construction Authority, NYC",DATA CONNECTIVITY (CIRCUIT ORDERS)
"School Construction Authority, NYC",TELECOMM CONTRACT
"Special Narcotics, Office of",SITE-TO-SITE VPN
"Special Narcotics, Office of",SOFTWARE SECURITY ASSURANCE
"Special Narcotics, Office of",SSL REMOTE ACCESS
"Special Narcotics, Office of",CISCO MAINTENANCE CONTRACT
"Special Narcotics, Office of",CABLE INFRASTRUCTURE
"Special Narcotics, Office of",CITYNET
"Special Narcotics, Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Special Narcotics, Office of",ADVISORY SERVICES 
"Special Narcotics, Office of",ADOBE ETLA
"Special Narcotics, Office of",VMWARE ELA
"Tax Appeals, Office of Administrative",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Tax Appeals, Office of Administrative",NYC.GOV
"Tax Appeals, Office of Administrative",SITE-TO-SITE VPN
"Tax Appeals, Office of Administrative",SOFTWARE SECURITY ASSURANCE
"Tax Appeals, Office of Administrative",SSL REMOTE ACCESS
"Tax Appeals, Office of Administrative",EMAIL
"Tax Appeals, Office of Administrative",SHAREPOINT
"Tax Appeals, Office of Administrative",SITE B (STERLING FOREST) MAINFRAME
"Tax Appeals, Office of Administrative",TWO-WAY RADIO COMMUNICATION
"Tax Appeals, Office of Administrative",VoIP
"Transitional Finance Authority, NYC",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Transitional Finance Authority, NYC",NYC.GOV
"Transitional Finance Authority, NYC",SITE-TO-SITE VPN
"Transitional Finance Authority, NYC",SOFTWARE SECURITY ASSURANCE
"Transitional Finance Authority, NYC",SSL REMOTE ACCESS
"Transitional Finance Authority, NYC",SITE B (STERLING FOREST) MAINFRAME
"Water Finance Authority, NYC Municipal",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Water Finance Authority, NYC Municipal",NYC.GOV
"Water Finance Authority, NYC Municipal",SITE-TO-SITE VPN
"Water Finance Authority, NYC Municipal",SOFTWARE SECURITY ASSURANCE
"Water Finance Authority, NYC Municipal",SSL REMOTE ACCESS
Brooklyn Bridge Park Corporation,SITE-TO-SITE VPN
Brooklyn Bridge Park Corporation,SOFTWARE SECURITY ASSURANCE
Brooklyn Bridge Park Corporation,SSL REMOTE ACCESS
Brooklyn Bridge Park Corporation,SERVICE DESK
Brooklyn Bridge Park Corporation,DESKTOP SUPPORT
Brooklyn Bridge Park Corporation,CABLE INFRASTRUCTURE
Brooklyn Bridge Park Corporation,CITYNET
